category,instances,instances_train,instances_test,images,pct_instances,cum_pct
IV-5,673,492,181,628,5.078,5.078
II-1,446,344,102,424,3.365,8.443
X-1.1,382,306,76,360,2.882,11.326
IV-2,344,238,106,343,2.596,13.921
II-2,297,230,67,288,2.241,16.162
III-3,289,211,78,286,2.181,18.343
III-6,269,207,62,242,2.030,20.373
III-35,172,129,43,165,1.298,21.671
II-30-40,171,133,38,171,1.290,22.961
II-34,167,132,35,164,1.260,24.221
II-47,161,124,37,150,1.215,25.436
III-105,145,105,40,145,1.094,26.530
III-86-1,143,104,39,112,1.079,27.609
IV-1,140,98,42,137,1.056,28.665
III-14,137,108,29,137,1.034,29.699
III-54,133,100,33,133,1.004,30.702
X-1.2,132,104,28,123,0.996,31.698
VII-4.3-1,117,87,30,69,0.883,32.581
I-15,108,83,25,108,0.815,33.396
II-40,108,87,21,108,0.815,34.211
III-87,107,82,25,105,0.807,35.018
VI-8,104,76,28,102,0.785,35.803
III-86-2,103,77,26,85,0.777,36.580
III-78,100,80,20,97,0.755,37.335
X-4,98,77,21,71,0.739,38.074
I-10,95,76,19,95,0.717,38.791
III-107.1-1,94,73,21,52,0.709,39.500
III-8-1,90,71,19,88,0.679,40.180
III-107-1,89,70,19,62,0.672,40.851
I-39-1,88,67,21,80,0.664,41.515
II-4,87,66,21,78,0.656,42.172
III-84,86,64,22,86,0.649,42.820
I-25,84,63,21,84,0.634,43.454
VII-4.3-2,83,65,18,56,0.626,44.081
II-30-50,82,61,21,81,0.619,44.699
II-48,82,65,17,78,0.619,45.318
III-85-2,81,61,20,81,0.611,45.929
I-39-2,79,58,21,72,0.596,46.525
II-7,79,57,22,79,0.596,47.121
III-29-30,79,60,19,79,0.596,47.717
III-107.1-2,78,60,18,51,0.589,48.306
III-85.1,78,56,22,78,0.589,48.895
III-90.1,77,56,21,69,0.581,49.476
III-84-1,76,58,18,75,0.573,50.049
I-39-3,75,56,19,70,0.566,50.615
VII-4-1,75,57,18,42,0.566,51.181
III-15,74,57,17,74,0.558,51.739
II-30-70,73,57,16,70,0.551,52.290
VII-4.3,73,54,19,42,0.551,52.841
II-3,72,52,20,72,0.543,53.384
VI-3.1-1,71,56,15,63,0.536,53.920
I-18,70,54,16,70,0.528,54.448
III-107-2,70,54,16,51,0.528,54.976
II-30-60,69,54,15,67,0.521,55.497
VI-3.1-2,68,51,17,57,0.513,56.010
I-11,66,51,15,66,0.498,56.508
I-8,66,44,22,66,0.498,57.006
III-45,65,47,18,63,0.490,57.496
VII-4-2,65,41,24,39,0.490,57.987
I-2.1,64,47,17,64,0.483,58.470
I-36,64,50,14,62,0.483,58.953
II-23,63,46,17,63,0.475,59.428
II-28,63,48,15,61,0.475,59.903
II-42,63,49,14,63,0.475,60.379
III-120-1,63,42,21,63,0.475,60.854
III-2,63,47,16,63,0.475,61.330
I-14,62,49,13,62,0.468,61.797
III-30-30,62,42,20,62,0.468,62.265
I-28,61,48,13,61,0.460,62.725
II-26,61,47,14,60,0.460,63.186
III-90,61,45,16,57,0.460,63.646
IV-6,61,47,14,60,0.460,64.106
I-2,60,41,19,60,0.453,64.559
I-5,60,48,12,58,0.453,65.012
III-43,60,43,17,60,0.453,65.464
III-90.2,60,46,14,57,0.453,65.917
I-20,58,41,17,57,0.438,66.355
I-13,57,46,11,57,0.430,66.785
II-22,57,41,16,57,0.430,67.215
II-45.1,57,43,14,56,0.430,67.645
III-68,57,46,11,57,0.430,68.075
I-28.1,56,45,11,56,0.423,68.498
II-32,56,43,13,35,0.423,68.920
III-1,56,43,13,56,0.423,69.343
I-13.1,55,38,17,55,0.415,69.758
II-39,55,42,13,55,0.415,70.173
II-7.1,55,40,15,55,0.415,70.588
III-120,54,39,15,54,0.407,70.995
I-1.1,53,43,10,53,0.400,71.395
III-85-3,53,38,15,52,0.400,71.795
I-4,52,39,13,52,0.392,72.187
II-43,52,37,15,52,0.392,72.580
III-124,52,40,12,52,0.392,72.972
III-18-60,52,40,12,52,0.392,73.365
III-18-70,52,42,10,50,0.392,73.757
I-17,51,40,11,51,0.385,74.142
I-27,51,41,10,51,0.385,74.527
II-26.1,51,41,10,51,0.385,74.911
II-30-30,51,33,18,51,0.385,75.296
II-45,51,39,12,49,0.385,75.681
III-14.1,51,38,13,51,0.385,76.066
III-74,51,31,20,51,0.385,76.451
I-1,50,39,11,50,0.377,76.828
I-5.1,50,37,13,50,0.377,77.205
II-33,50,40,10,50,0.377,77.582
III-107.2-1,50,36,14,47,0.377,77.960
III-18-50,50,39,11,50,0.377,78.337
IV-3-5,50,30,20,50,0.377,78.714
I-16,49,34,15,49,0.370,79.084
II-35,49,36,13,48,0.370,79.454
II-41,49,35,14,49,0.370,79.823
IV-18,49,37,12,49,0.370,80.193
I-3,48,37,11,48,0.362,80.555
III-77,48,33,15,48,0.362,80.918
III-105.3,47,37,10,47,0.355,81.272
III-10,46,30,16,46,0.347,81.619
III-33,46,34,12,46,0.347,81.966
III-107.2-2,45,28,17,44,0.340,82.306
III-23,45,33,12,45,0.340,82.645
IV-13-3,45,34,11,45,0.340,82.985
II-21,44,32,12,44,0.332,83.317
IV-3-4,44,28,16,44,0.332,83.649
II-17,43,30,13,43,0.324,83.973
I-30,42,30,12,42,0.317,84.290
III-206-1,42,32,10,42,0.317,84.607
IV-13-4,42,30,12,42,0.317,84.924
I-37,41,31,10,37,0.309,85.234
IV-10,41,31,10,40,0.309,85.543
IV-11,41,30,11,41,0.309,85.852
IV-13-5,40,26,14,39,0.302,86.154
VI-3-1,40,28,12,38,0.302,86.456
III-16,39,28,11,39,0.294,86.750
I-32,37,27,10,37,0.279,87.029
I-5.2,35,23,12,35,0.264,87.293
III-34,35,25,10,35,0.264,87.558
VII-4.4-2,35,25,10,22,0.264,87.822
II-45.2,34,20,14,33,0.257,88.078
III-21,34,24,10,34,0.257,88.335
IV-13-2,34,23,11,33,0.257,88.591
IV-13-6,34,24,10,34,0.257,88.848
II-18,33,21,12,33,0.249,89.097
VII-4.4-1,33,22,11,24,0.249,89.346
I-9,32,21,11,32,0.241,89.587
II-14,32,22,10,32,0.241,89.829
II-19-4,32,21,11,32,0.241,90.070
III-27,32,21,11,30,0.241,90.312
IV-1.1,32,19,13,30,0.241,90.553
I-38,31,25,6,30,0.234,90.787
III-5,30,24,6,30,0.226,91.013
IV-13-1,30,23,7,29,0.226,91.240
I-19,29,17,12,28,0.219,91.459
III-64,29,23,6,29,0.219,91.677
IV-3-1,29,23,6,29,0.219,91.896
III-18-40,27,20,7,27,0.204,92.100
IV-3-2,27,18,9,27,0.204,92.304
III-25.1,26,17,9,26,0.196,92.500
III-91,26,17,9,12,0.196,92.696
I-34,25,17,8,25,0.189,92.885
II-47.1,25,17,8,25,0.189,93.073
II-8,25,18,7,25,0.189,93.262
III-120.1,25,18,7,25,0.189,93.451
III-123,25,17,8,25,0.189,93.639
III-202-5,25,17,8,25,0.189,93.828
III-25,25,20,5,25,0.189,94.016
III-47,25,19,6,25,0.189,94.205
IV-16,25,17,8,25,0.189,94.394
IV-20-1,25,13,12,25,0.189,94.582
X-6-3,25,19,6,25,0.189,94.771
I-29.1,24,15,9,24,0.181,94.952
III-113,24,18,6,20,0.181,95.133
III-40,24,14,10,24,0.181,95.314
III-50,24,18,6,24,0.181,95.495
III-12,23,13,10,22,0.174,95.669
III-203-2,23,16,7,23,0.174,95.842
IV-12.1,23,14,9,23,0.174,96.016
IV-17,23,16,7,23,0.174,96.190
II-10.1,22,17,5,21,0.166,96.356
II-30-10,22,13,9,22,0.166,96.522
III-37,22,17,5,20,0.166,96.688
IV-13.1-4,22,17,5,21,0.166,96.854
VI-3-2,22,16,6,20,0.166,97.020
VII-4.1-1,22,13,9,20,0.166,97.186
I-29,21,16,5,21,0.158,97.344
II-42.1,21,13,8,21,0.158,97.502
II-46,21,12,9,21,0.158,97.661
II-6,21,12,9,21,0.158,97.819
III-105.1,21,11,10,21,0.158,97.978
III-112,21,16,5,17,0.158,98.136
III-42,21,11,10,21,0.158,98.295
III-46,21,11,10,21,0.158,98.453
IV-12,21,16,5,21,0.158,98.612
IV-13.1-2,21,14,7,18,0.158,98.770
IV-13.1-3,21,12,9,21,0.158,98.929
VI-2.1,21,12,9,20,0.158,99.087
VII-4,21,12,9,14,0.158,99.245
II-46.1,20,14,6,20,0.151,99.396
II-46.2,20,12,8,20,0.151,99.547
III-29-40,20,14,6,20,0.151,99.698
III-39,20,13,7,20,0.151,99.849
III-59,20,15,5,20,0.151,100.000
