category,instances,instances_train,instances_val,images,pct_instances,cum_pct
category_78,2713,2376,337,2205,3.942,3.942
category_106,2128,1864,264,1357,3.092,7.035
category_240,1957,1709,248,1590,2.844,9.879
category_164,1763,1537,226,704,2.562,12.441
category_349,1723,1497,226,714,2.504,14.944
category_11,1553,1358,195,1187,2.257,17.201
category_154,1347,1179,168,1154,1.957,19.159
category_267,1209,1055,154,1050,1.757,20.915
category_172,1206,1055,151,1046,1.753,22.668
category_104,1182,1023,159,1066,1.718,24.386
category_98,1157,1003,154,1016,1.681,26.067
category_372,1107,969,138,867,1.609,27.676
category_280,998,876,122,902,1.450,29.126
category_366,760,667,93,682,1.104,30.230
category_222,698,610,88,633,1.014,31.245
category_92,667,584,83,565,0.969,32.214
category_51,584,511,73,488,0.849,33.063
category_345,572,499,73,506,0.831,33.894
category_195,571,500,71,438,0.830,34.724
category_37,564,495,69,532,0.820,35.543
category_49,543,476,67,453,0.789,36.332
category_249,508,443,65,416,0.738,37.070
category_336,475,416,59,403,0.690,37.761
category_272,464,411,53,414,0.674,38.435
category_202,460,401,59,422,0.668,39.103
category_212,459,402,57,435,0.667,39.770
category_343,455,397,58,357,0.661,40.432
category_355,450,394,56,384,0.654,41.086
category_211,444,385,59,370,0.645,41.731
category_230,438,384,54,382,0.636,42.367
category_334,435,379,56,399,0.632,42.999
category_239,419,367,52,390,0.609,43.608
category_9,405,355,50,354,0.589,44.197
category_361,401,352,49,335,0.583,44.779
category_85,378,332,46,353,0.549,45.329
category_328,374,327,47,337,0.543,45.872
category_152,371,323,48,343,0.539,46.411
category_295,365,316,49,338,0.530,46.942
category_147,351,305,46,315,0.510,47.452
category_56,348,305,43,307,0.506,47.958
category_38,340,299,41,286,0.494,48.452
category_339,339,295,44,303,0.493,48.944
category_271,338,298,40,306,0.491,49.435
category_17,337,295,42,309,0.490,49.925
category_0,336,293,43,265,0.488,50.413
category_376,336,293,43,267,0.488,50.902
category_214,316,275,41,162,0.459,51.361
category_48,316,276,40,284,0.459,51.820
category_338,314,276,38,250,0.456,52.276
category_81,311,272,39,275,0.452,52.728
category_13,306,263,43,142,0.445,53.173
category_10,303,265,38,287,0.440,53.613
category_325,303,266,37,263,0.440,54.054
category_362,303,259,44,276,0.440,54.494
category_300,301,263,38,268,0.437,54.931
category_351,296,264,32,151,0.430,55.361
category_91,291,255,36,268,0.423,55.784
category_162,283,248,35,257,0.411,56.196
category_173,280,244,36,270,0.407,56.602
category_223,278,241,37,215,0.404,57.006
category_207,273,239,34,223,0.397,57.403
category_326,273,239,34,263,0.397,57.800
category_64,270,239,31,215,0.392,58.192
category_369,267,232,35,251,0.388,58.580
category_274,265,228,37,179,0.385,58.965
category_235,262,229,33,237,0.381,59.346
category_251,259,228,31,240,0.376,59.722
category_257,259,226,33,231,0.376,60.099
category_151,254,224,30,220,0.369,60.468
category_75,250,218,32,241,0.363,60.831
category_388,249,218,31,238,0.362,61.193
category_131,246,216,30,175,0.357,61.551
category_226,245,214,31,165,0.356,61.907
category_112,241,212,29,201,0.350,62.257
category_197,241,211,30,229,0.350,62.607
category_330,240,203,37,196,0.349,62.956
category_144,238,209,29,200,0.346,63.302
