image,cluster,dist_to_centroid
13957.jpg,6,0.5426
10892.jpg,5,0.8436
19806.jpg,0,0.6889
18731.jpg,6,0.6419
17936.jpg,3,0.6114
14954.jpg,5,0.7214
13642.jpg,0,0.6620
13091.jpg,1,0.7205
704.jpg,2,0.7751
11127.jpg,1,0.6303
11060.jpg,6,0.5928
13331.jpg,13,0.5290
17774.jpg,5,0.7633
18284.jpg,19,0.6540
10944.jpg,9,0.8007
1706.jpg,19,0.7486
6954.jpg,13,0.5674
17836.jpg,19,0.6287
7994.jpg,17,0.7629
19913.jpg,19,0.5082
1024.jpg,13,0.5193
15683.jpg,8,0.4981
7064.jpg,8,0.5122
4113.jpg,7,0.7260
19904.jpg,10,0.6339
15532.jpg,11,0.4637
17656.jpg,15,0.8097
3987.jpg,15,0.7902
13633.jpg,7,0.5789
13297.jpg,2,0.6167
5538.jpg,8,0.4948
13440.jpg,19,0.6548
4782.jpg,10,0.6562
4245.jpg,5,0.8571
19433.jpg,14,0.4542
1155.jpg,4,0.5723
8374.jpg,0,0.6524
14438.jpg,13,0.6668
5487.jpg,10,0.7258
12790.jpg,13,0.5129
2433.jpg,2,0.7053
4880.jpg,19,0.6746
16812.jpg,7,0.6479
12462.jpg,2,0.8229
11633.jpg,19,0.6206
18112.jpg,1,0.6978
2294.jpg,0,0.6343
12826.jpg,5,0.9051
18290.jpg,11,0.6401
13590.jpg,10,0.6794
5545.jpg,16,0.6705
19907.jpg,10,0.6422
8148.jpg,3,0.6099
4996.jpg,2,0.7368
15797.jpg,19,0.7508
5182.jpg,7,0.6630
465.jpg,9,0.7405
17445.jpg,19,0.8182
19524.jpg,16,0.7426
12528.jpg,2,0.7210
16082.jpg,14,0.5593
18729.jpg,7,0.7421
15821.jpg,2,0.6682
8477.jpg,15,0.6614
5520.jpg,4,0.6422
19628.jpg,11,0.4962
17808.jpg,15,0.8437
356.jpg,5,0.8577
11982.jpg,19,0.6631
18151.jpg,19,0.7282
1114.jpg,14,0.6155
3231.jpg,13,0.6364
6295.jpg,13,0.5344
19555.jpg,18,0.9248
12345.jpg,3,0.6903
17501.jpg,1,0.6250
3200.jpg,13,0.4394
17556.jpg,0,0.5712
9780.jpg,12,0.6709
6104.jpg,12,0.7564
8353.jpg,7,0.6956
15076.jpg,9,0.8394
19445.jpg,11,0.5532
14958.jpg,2,0.7039
18790.jpg,14,0.5778
19365.jpg,17,0.7227
7271.jpg,13,0.6408
6234.jpg,14,0.8247
4897.jpg,16,0.7542
17798.jpg,3,0.5902
14914.jpg,4,0.7252
9583.jpg,15,0.7099
13231.jpg,15,0.7969
11677.jpg,0,0.5406
13897.jpg,16,0.7074
15439.jpg,5,0.7431
15696.jpg,13,0.4168
7048.jpg,4,0.6388
12252.jpg,7,0.7793
5707.jpg,15,0.8104
5598.jpg,3,0.8146
8677.jpg,7,0.7505
18959.jpg,18,0.7873
10420.jpg,7,0.7820
14076.jpg,5,0.8366
19519.jpg,7,0.6048
411.jpg,9,0.6577
13967.jpg,13,0.5641
2446.jpg,10,0.4936
7494.jpg,8,0.5253
15629.jpg,13,0.4778
8158.jpg,14,0.5432
10117.jpg,1,0.5408
19389.jpg,5,0.8596
9832.jpg,16,0.6774
16342.jpg,1,0.5631
13778.jpg,14,0.5133
2626.jpg,4,0.7483
17061.jpg,6,0.5737
9891.jpg,19,0.5962
5319.jpg,18,0.6199
15754.jpg,10,0.7321
10017.jpg,14,0.6524
3554.jpg,8,0.4741
9416.jpg,1,0.5726
10701.jpg,4,0.6356
13977.jpg,19,0.6127
4930.jpg,10,0.7065
2948.jpg,19,0.6663
18527.jpg,4,0.8370
12060.jpg,3,0.6361
18579.jpg,1,0.5504
12789.jpg,14,0.6112
13039.jpg,7,0.7089
9320.jpg,0,0.6245
12449.jpg,13,0.5730
14470.jpg,14,0.4978
14568.jpg,7,0.6197
8935.jpg,15,0.6743
15878.jpg,17,0.6064
19453.jpg,18,0.7462
7083.jpg,6,0.5816
17529.jpg,8,0.5879
17143.jpg,6,0.4909
3101.jpg,16,0.6919
6222.jpg,11,0.5151
5300.jpg,14,0.6962
761.jpg,8,0.5573
8077.jpg,2,0.7820
14305.jpg,10,0.6479
18836.jpg,12,0.7668
17993.jpg,6,0.7503
12273.jpg,4,0.6977
4040.jpg,6,0.5645
10753.jpg,4,0.7734
1819.jpg,10,0.5802
17829.jpg,2,0.7318
10264.jpg,13,0.6544
12514.jpg,2,0.7387
12095.jpg,14,0.5592
18148.jpg,0,0.6548
12386.jpg,2,0.8515
11115.jpg,19,0.5879
3772.jpg,1,0.5818
12508.jpg,19,0.5447
1847.jpg,13,0.4549
