category,family,prefix,instances,images,pct_instances,cum_pct
pn,prohibitory (proibição/regulamentação),pn,3176,3016,11.614,11.614
pne,prohibitory (proibição/regulamentação),pne,2384,2142,8.718,20.332
i5,indication/mandatory (indicação, azul),i,1734,1599,6.341,26.673
p11,prohibitory (proibição/regulamentação),p,1582,1560,5.785,32.458
pl40,prohibitory (proibição/regulamentação),pl,1413,1376,5.167,37.625
pl50,prohibitory (proibição/regulamentação),pl,1073,1062,3.924,41.549
pl80,prohibitory (proibição/regulamentação),pl,904,827,3.306,44.855
p26,prohibitory (proibição/regulamentação),p,840,786,3.072,47.927
pl60,prohibitory (proibição/regulamentação),pl,835,803,3.053,50.980
i4,indication/mandatory (indicação, azul),i,814,774,2.977,53.957
pl100,prohibitory (proibição/regulamentação),pl,673,394,2.461,56.418
pl30,prohibitory (proibição/regulamentação),pl,640,637,2.340,58.758
pl5,prohibitory (proibição/regulamentação),pl,537,386,1.964,60.722
il60,indication/mandatory (indicação, azul),il,489,361,1.788,62.510
i2,indication/mandatory (indicação, azul),i,472,463,1.726,64.236
i2r,indication/mandatory (indicação, azul),i,429,422,1.569,65.805
p5,prohibitory (proibição/regulamentação),p,421,408,1.540,67.344
w57,warning (advertência, triangular),w,420,393,1.536,68.880
p13,prohibitory (proibição/regulamentação),p,379,244,1.386,70.266
p10,prohibitory (proibição/regulamentação),p,374,358,1.368,71.634
ip,indication/mandatory (indicação, azul),ip,355,317,1.298,72.932
i4l,indication/mandatory (indicação, azul),i,335,326,1.225,74.157
pl120,prohibitory (proibição/regulamentação),pl,298,240,1.090,75.247
il80,indication/mandatory (indicação, azul),il,297,261,1.086,76.333
p23,prohibitory (proibição/regulamentação),p,297,283,1.086,77.419
w59,warning (advertência, triangular),w,231,229,0.845,78.264
pr40,prohibitory (proibição/regulamentação),pr,201,201,0.735,78.999
p12,prohibitory (proibição/regulamentação),p,189,189,0.691,79.690
ph4.5,prohibitory (proibição/regulamentação),ph,186,169,0.680,80.370
w55,warning (advertência, triangular),w,179,177,0.655,81.025
p3,prohibitory (proibição/regulamentação),p,173,173,0.633,81.657
pl20,prohibitory (proibição/regulamentação),pl,164,160,0.600,82.257
pg,prohibitory (proibição/regulamentação),pg,157,156,0.574,82.831
pm20,prohibitory (proibição/regulamentação),pm,156,152,0.570,83.402
pl70,prohibitory (proibição/regulamentação),pl,150,147,0.549,83.950
pm55,prohibitory (proibição/regulamentação),pm,139,133,0.508,84.458
p27,prohibitory (proibição/regulamentação),p,135,135,0.494,84.952
il100,indication/mandatory (indicação, azul),il,132,132,0.483,85.435
w13,warning (advertência, triangular),w,130,130,0.475,85.910
p19,prohibitory (proibição/regulamentação),p,129,127,0.472,86.382
w32,warning (advertência, triangular),w,124,118,0.453,86.835
ph4,prohibitory (proibição/regulamentação),ph,122,118,0.446,87.282
ph5,prohibitory (proibição/regulamentação),ph,121,102,0.442,87.724
p6,prohibitory (proibição/regulamentação),p,116,115,0.424,88.148
pm30,prohibitory (proibição/regulamentação),pm,107,103,0.391,88.539
w30,warning (advertência, triangular),w,97,97,0.355,88.894
pbp,prohibitory (proibição/regulamentação),pbp,96,96,0.351,89.245
w63,warning (advertência, triangular),w,95,92,0.347,89.593
w58,warning (advertência, triangular),w,95,94,0.347,89.940
pl15,prohibitory (proibição/regulamentação),pl,93,93,0.340,90.280
pcl,prohibitory (proibição/regulamentação),pcl,86,81,0.314,90.595
il90,indication/mandatory (indicação, azul),il,78,75,0.285,90.880
ps,prohibitory (proibição/regulamentação),ps,77,76,0.282,91.161
pb,prohibitory (proibição/regulamentação),pb,76,76,0.278,91.439
p18,prohibitory (proibição/regulamentação),p,75,72,0.274,91.714
p1,prohibitory (proibição/regulamentação),p,74,73,0.271,91.984
pbm,prohibitory (proibição/regulamentação),pbm,72,72,0.263,92.247
i10,indication/mandatory (indicação, azul),i,71,70,0.260,92.507
im,indication/mandatory (indicação, azul),im,70,70,0.256,92.763
p9,prohibitory (proibição/regulamentação),p,65,65,0.238,93.001
w22,warning (advertência, triangular),w,64,64,0.234,93.235
pa14,prohibitory (proibição/regulamentação),pa,61,61,0.223,93.458
w21,warning (advertência, triangular),w,57,57,0.208,93.666
pl90,prohibitory (proibição/regulamentação),pl,56,47,0.205,93.871
pr60,prohibitory (proibição/regulamentação),pr,53,53,0.194,94.065
pm10,prohibitory (proibição/regulamentação),pm,52,52,0.190,94.255
pr30,prohibitory (proibição/regulamentação),pr,50,50,0.183,94.438
